category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
120,260429_221709/120/forecast_Wh_metrics_120d.json,[2.2874757372105425],[41.970873578991785],[2.8032327484911503],[2.1237077814040526],[-15.824109590978289],[2.206226199531055],[60.25859857697877],"[""2025-10-31T00:00:00""]",[6.54126],[0.41844042848947216],[0.4915551882991576]
30,260429_221709/30/forecast_Wh_metrics_30d.json,[0.5690241715387324],[10.092187355826335],[0.7959446649743102],[0.7653149581633032],[-0.8689936722817546],[0.6335191398388516],[10.642787096097146],"[""2026-01-29T00:00:00""]",[4.72749],[0.10420375715904627],[0.12418804278529512]
60,260429_221709/60/forecast_Wh_metrics_60d.json,[0.5452055295061319],[9.69338956612435],[0.7417926908730413],[0.7301843471413662],[-0.911684927031736],[0.6323273611324364],[10.414022071074415],"[""2025-12-30T00:00:00""]",[4.57906],[0.10244181124995817],[0.13183969978925889]
90,260429_221709/90/forecast_Wh_metrics_90d.json,[0.7115064985270066],[14.503411829112553],[0.9279788394639146],[1.0656821829323757],[-1.3065357289209087],[0.7373042439566034],[13.102334118443698],"[""2025-11-30T00:00:00""]",[5.85374],[0.1347282317847045],[0.16154232100349997]
120,260429_235901/120/forecast_Wh_metrics_120d.json,[0.9245532036147547],[16.37685713460004],[1.1330121565598663],[0.8583613810186519],[-1.76493956195478],[0.8943897525129245],[18.23840080619166],"[""2025-10-31T00:00:00""]",[6.54126],[0.16912548290179483],[0.1992732763769988]
30,260429_235901/30/forecast_Wh_metrics_30d.json,[0.7340868643549253],[12.76554632006483],[1.0268325187856298],[0.987317737949167],[-2.259636271310188],[0.8366434120383445],[14.051638383080837],"[""2026-01-29T00:00:00""]",[4.72749],[0.13443121254415732],[0.16400626487256972]
60,260429_235901/60/forecast_Wh_metrics_60d.json,[124.80253436573122],[2366.8312702730254],[169.80313438638697],[167.14587828919744],[-61619.95623631252],[113.52670501530326],[181.52242627288905],"[""2025-12-30T00:00:00""]",[4.57906],[23.449867943547453],[23.67021835094455]
90,260429_235901/90/forecast_Wh_metrics_90d.json,[0.5246634623130024],[10.514799358311128],[0.6842897315404617],[0.7858319003130735],[-0.2481572682726696],[0.5423770387096203],[9.893113539654566],"[""2025-11-30T00:00:00""]",[5.85374],[0.09934832739519765],[0.11883404498254073]
90,260501_010830/90/forecast_Wh_metrics_90d.json,[1.1104254305489227],[20.100255320016977],[1.4482668879135951],[1.6631760908169446],[-4.271317100831572],[1.1146184094408542],[23.11195803787536],"[""2025-11-30T00:00:00""]",[5.85374],[0.21026604127488088],[0.24421132303275195]
90,260501_013019/90/forecast_Wh_metrics_90d.json,[0.6676535555555556],[13.58717491936076],[0.870783855004922],[1.0],[-1.0394092177617562],[0.693296215481206],[12.373998629257342],"[""2025-11-30T00:00:00""]",[5.85374],[0.1264244011417932],[0.15190022397099967]
