category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
30,260507_150910/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260507_150910/60/forecast_Wh_metrics_60d.json,[1.4554329999999998],[26.57334811422348],[1.9802248932313524],[1.949236274026174],[-8.915621732450141],[1.4401037846969849],[31.48103623362043],"[""2025-12-30T00:00:00""]",[4.57906],[0.27346970014779254],[0.30026037510032816]
90,260507_150910/90/forecast_Wh_metrics_90d.json,[15.514338409191389],[294.92530380740175],[20.23449930790111],[23.23710894684277],[-1072.1931382454645],[15.903971330587478],[142.4468435089983],"[""2025-11-30T00:00:00""]",[5.85374],[2.9377375828712022],[3.484537710144307]
120,260507_162941/120/forecast_Wh_metrics_120d.json,[0.8387842122763024],[14.86354128303593],[1.0279048361131824],[0.778732875524308],[-1.3527071469107934],[0.8250265585319615],[16.420490265283437],"[""2025-10-31T00:00:00""]",[6.54126],[0.15343604283344384],[0.18381890552164837]
30,260507_162941/30/forecast_Wh_metrics_30d.json,[0.4401980847947569],[8.23416754472756],[0.6157441715996532],[0.592048977352334],[-0.058581207568913385],[0.4767798742392516],[8.054673092446048],"[""2026-01-29T00:00:00""]",[4.72749],[0.08061220704524641],[0.09346262124969605]
60,260507_162941/60/forecast_Wh_metrics_60d.json,[1.3694183590854094],[24.896553340907694],[1.8631955740380761],[1.8340383513680678],[-8.08790301809345],[1.378686929466553],[29.30892317672098],"[""2025-12-30T00:00:00""]",[4.57906],[0.25730791320244156],[0.28745501469163215]
90,260507_162941/90/forecast_Wh_metrics_90d.json,[1.238017555555555],[22.585585768224934],[1.614678287294363],[1.854281378798917],[-4.885981776016841],[1.1778123318138851],[25.95363841608973],"[""2025-11-30T00:00:00""]",[5.85374],[0.23442641286303167],[0.258057022385671]
120,260507_180225/120/forecast_Wh_metrics_120d.json,[0.8111868382359854],[14.382898190703058],[0.9940850838754974],[0.753111288793421],[-1.1973627117292494],[0.797324058196844],[15.755197129792553],"[""2025-10-31T00:00:00""]",[6.54126],[0.14838774578234745],[0.17764668810736847]
30,260507_180225/30/forecast_Wh_metrics_30d.json,[0.9272354263269267],[16.427525614024795],[1.2970065731379234],[1.2470948986015464],[-3.4385425355307415],[0.9762836538400005],[18.27049996442594],"[""2026-01-29T00:00:00""]",[4.72749],[0.16980195223158276],[0.19137978404962916]
60,260507_180225/60/forecast_Wh_metrics_60d.json,[0.5372673421706011],[9.680166188723515],[0.7309921963336486],[0.7195528699765418],[-0.72180720560077],[0.6001033855546076],[10.237791611403356],"[""2025-12-30T00:00:00""]",[4.57906],[0.10095025945034623],[0.12512102916493406]
90,260507_180225/90/forecast_Wh_metrics_90d.json,[0.4826451991097036],[8.882447993905842],[0.629487619115052],[0.7228976691483261],[-0.13571163405700948],[0.5173693276250114],[9.150306655105902],"[""2025-11-30T00:00:00""]",[5.85374],[0.09139190490887529],[0.11335489071928323]
120,260507_194828/120/forecast_Wh_metrics_120d.json,[0.7275979556900632],[13.900034179978974],[0.8916494212143279],[0.6755068108905784],[-0.9308742866865987],[0.7474135945558403],[13.045746922308945],"[""2025-10-31T00:00:00""]",[6.54126],[0.13309710585970314],[0.16652645603036448]
30,260507_194828/30/forecast_Wh_metrics_30d.json,[0.9000623193219618],[15.895620098169157],[1.2589971341137578],[1.2105481466517374],[-3.2638474422901664],[0.9568781848579389],[17.65038964821393],"[""2026-01-29T00:00:00""]",[4.72749],[0.1648258194322586],[0.18757575184181616]
60,260507_194828/60/forecast_Wh_metrics_60d.json,[1.4434294382988149],[26.278921931791306],[1.963893154368674],[1.933160111203522],[-9.070884262818078],[1.4513348335247744],[31.245323432903206],"[""2025-12-30T00:00:00""]",[4.57906],[0.271214281712778],[0.30260203892319754]
90,260507_194828/90/forecast_Wh_metrics_90d.json,[0.7635153075384129],[15.544851675087552],[0.9958110719568314],[1.1435800815935004],[-1.6172737271825754],[0.7854005722676888],[13.966740385594637],"[""2025-11-30T00:00:00""]",[5.85374],[0.1445764269731413],[0.1720801587696642]
