category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
60,S9_G30_EsAll_36120d-30Seed/260507_183801/60/forecast_Wh_metrics_60d.json,[0.8300052112240697],[14.863441172314623],[1.129283849395781],[1.1116116408991092],[-3.4145221034290376],[0.9608944041628599],[16.780720680453783],"[""2025-12-30T00:00:00""]",[4.57906],[0.15595446594556506],[0.2003456398709864]
90,S9_G30_EsAll_90d-30Seed/260430_103243/90/forecast_Wh_metrics_90d.json,[0.8751652444444442],[17.74394463875673],[1.1414299511810886],[1.310807434727458],[-2.227754906372308],[0.8722016733160229],[15.807955203598228],"[""2025-11-30T00:00:00""]",[5.85374],[0.16571804494762907],[0.19109815770828492]
90,S9_G30_EsAll_90d-30Seed/260430_110416/90/forecast_Wh_metrics_90d.json,[0.6348921767104879],[12.543047722565193],[0.8280549883215917],[0.9509305708440257],[-1.1244918263615626],[0.7076103438976508],[11.601776610707603],"[""2025-11-30T00:00:00""]",[5.85374],[0.1202208279463795],[0.15503642933871317]
90,S9_G30_EsAll_90d-30Seed/260430_113809/90/forecast_Wh_metrics_90d.json,[0.7378284329159095],[14.556510225993902],[0.9623090924935461],[1.1051067230548353],[-1.738404621927884],[0.8033697043113996],[13.386096797191973],"[""2025-11-30T00:00:00""]",[5.85374],[0.13971245565997706],[0.17601717028228242]
90,S9_G30_EsAll_90d-30Seed/260430_120529/90/forecast_Wh_metrics_90d.json,[0.6643557086419758],[13.518535343958247],[0.8664826544425531],[0.9950605416744382],[-1.0202592760842037],[0.6900335314248157],[12.318120937005693],"[""2025-11-30T00:00:00""]",[5.85374],[0.12579993308101922],[0.15118537449130318]
90,S9_G30_EsAll_90d-30Seed/260430_122800/90/forecast_Wh_metrics_90d.json,[0.6674031967981302],[13.071638544805097],[0.8704573258310546],[0.9996250169637498],[-1.2651943343327328],[0.730666799268274],[12.167526541263843],"[""2025-11-30T00:00:00""]",[5.85374],[0.12637699413599696],[0.16008806622431793]
90,S9_G30_EsAll_90d-30Seed/260430_125647/90/forecast_Wh_metrics_90d.json,[0.4788920444444444],[9.199716321813591],[0.6245925856644705],[0.717276258711687],[-0.004353683054588275],[0.4865303968919848],[9.061247595317852],"[""2025-11-30T00:00:00""]",[5.85374],[0.09068122146085096],[0.1065981244471329]
90,S9_G30_EsAll_90d-30Seed/260430_131910/90/forecast_Wh_metrics_90d.json,[0.5184094864197533],[10.294959937234882],[0.6761330143446701],[0.7764648028997373],[-0.18998169978264579],[0.5295863489703906],[9.781390661146737],"[""2025-11-30T00:00:00""]",[5.85374],[0.09816409771427978],[0.11603162288250948]
90,S9_G30_EsAll_90d-30Seed/260430_134512/90/forecast_Wh_metrics_90d.json,[0.49478193333333326],[9.053121885271455],[0.645316894832199],[0.7410758607008756],[-0.16274805837318573],[0.5234912802182599],[9.369835529440145],"[""2025-11-30T00:00:00""]",[5.85374],[0.09369007188974716],[0.11469620190675141]
90,S9_G30_EsAll_90d-30Seed/260430_140824/90/forecast_Wh_metrics_90d.json,[0.5846381481481481],[11.821739578472757],[0.7625114195696383],[0.8756609521260914],[-0.5652247681576121],[0.6073723207947875],[10.95021924054055],"[""2025-11-30T00:00:00""]",[5.85374],[0.11070491147579355],[0.13307441971030792]
90,S9_G30_EsAll_90d-30Seed/260430_143500/90/forecast_Wh_metrics_90d.json,[0.6144463376561352],[12.091902698374605],[0.8013886036338853],[0.9203071451403466],[-0.9848683400869722],[0.6839628177328403],[11.401935496158313],"[""2025-11-30T00:00:00""]",[5.85374],[0.11634927969088169],[0.14985528967490933]
