category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
90,260428_193916/90/forecast_Wh_metrics_90d.json,[0.4792362850822159],[9.215121746929752],[0.6250415598174781],[0.717791856411882],[-0.005651250951816733],[0.4868445802635134],[9.06766828490135],"[""2025-11-30T00:00:00""]",[5.85374],[0.0907464055913282],[0.10666696158115653]
120,260428_203538/120/forecast_Wh_metrics_120d.json,[24.468817522773893],[460.1558194852938],[29.985800277968412],[22.717013924807308],[-3177.0951249529617],[30.32266998871608],[89.23239574032249],"[""2025-10-31T00:00:00""]",[6.54126],[4.4760004761168855],[6.756000703465829]
30,260428_203538/30/forecast_Wh_metrics_30d.json,[0.7715553684920863],[13.452120235429243],[1.0792430444965067],[1.0377113909966826],[-2.397626419424007],[0.8541686687464596],[14.7891866613206],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271175896824],[0.16744172118797684]
60,260428_203538/60/forecast_Wh_metrics_60d.json,[1.3439414681786053],[24.392646517986442],[1.8285323682595944],[1.7999175914945797],[-7.993513465131159],[1.3715085237212887],[28.763626057910518],"[""2025-12-30T00:00:00""]",[4.57906],[0.25252091323955644],[0.2859583233943803]
90,260428_203538/90/forecast_Wh_metrics_90d.json,[0.6676535555555556],[13.58717491936076],[0.870783855004922],[1.0],[-1.0394092177617562],[0.693296215481206],[12.373998629257342],"[""2025-11-30T00:00:00""]",[5.85374],[0.1264244011417932],[0.15190022397099967]
120,260428_213659/120/forecast_Wh_metrics_120d.json,[0.818869840454857],[14.908223173181542],[1.0035003721237281],[0.7602442394653522],[-1.4812194550903843],[0.8472597635606953],[16.347477921766977],"[""2025-10-31T00:00:00""]",[6.54126],[0.1497931721605396],[0.18877254413164946]
30,260428_213659/30/forecast_Wh_metrics_30d.json,[0.8349298933333329],[14.620915745383604],[1.1678906230453532],[1.1229476151386943],[-2.800207296212094],[0.9033571129576428],[16.142392147425998],"[""2026-01-29T00:00:00""]",[4.72749],[0.152898305909335],[0.17708407645414034]
60,260428_213659/60/forecast_Wh_metrics_60d.json,[0.6556463516229232],[11.752428860405221],[0.8920556471098491],[0.8780958323167893],[-1.4860316412673074],[0.7210861305136563],[12.69626798200259],"[""2025-12-30T00:00:00""]",[4.57906],[0.12319317425214008],[0.15034582529982846]
90,260428_213659/90/forecast_Wh_metrics_90d.json,[0.4874493322372105],[9.207751735656561],[0.6357533860385073],[0.7300932170302052],[-0.06411274921337862],[0.5007955530966877],[9.230438573235311],"[""2025-11-30T00:00:00""]",[5.85374],[0.09230159774072896],[0.10972360007225462]
120,260428_224533/120/forecast_Wh_metrics_120d.json,[24.468817522773893],[460.1558194852938],[29.985800277968412],[22.717013924807308],[-3177.0951249529617],[30.32266998871608],[89.23239574032249],"[""2025-10-31T00:00:00""]",[6.54126],[4.4760004761168855],[6.756000703465829]
30,260428_224533/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_224533/60/forecast_Wh_metrics_60d.json,[1.4434294382987891],[26.278921931790826],[1.9638931543686389],[1.9331601112034873],[-9.070884262817739],[1.45133483352475],[31.245323432902527],"[""2025-12-30T00:00:00""]",[4.57906],[0.2712142817127732],[0.3026020389231925]
90,260428_224533/90/forecast_Wh_metrics_90d.json,[3.8288192010222466],[73.8560085065186],[4.993718547950709],[5.73473947552976],[-55.07039457468112],[3.63524299885492],[51.51336797709347],"[""2025-11-30T00:00:00""]",[5.85374],[0.7250110038980512],[0.7964766190621733]
120,260429_011522/120/forecast_Wh_metrics_120d.json,[0.5850906031856522],[11.2010028438335],[0.7170109448612262],[0.5432020312167329],[-0.2905518938768801],[0.6110429385118403],[10.816301381374837],"[""2025-10-31T00:00:00""]",[6.54126],[0.10702870361401955],[0.13614257992353715]
30,260429_011522/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260429_011522/60/forecast_Wh_metrics_60d.json,[1.4434294382987742],[26.27892193179055],[1.9638931543686187],[1.9331601112034675],[-9.070884262817549],[1.4513348335247362],[31.24532343290216],"[""2025-12-30T00:00:00""]",[4.57906],[0.27121428171277034],[0.3026020389231896]
90,260429_011522/90/forecast_Wh_metrics_90d.json,[4.904298975635338],[92.81174152665429],[6.3964077365646155],[7.345574564572583],[-76.87378123807335],[4.28412636122759],[174.60955127399228],"[""2025-11-30T00:00:00""]",[5.85374],[0.9286598653684772],[0.9386460494939419]
120,260429_035136/120/forecast_Wh_metrics_120d.json,[24.468817522773893],[460.1558194852938],[29.985800277968412],[22.717013924807308],[-3177.0951249529617],[30.32266998871608],[89.23239574032249],"[""2025-10-31T00:00:00""]",[6.54126],[4.4760004761168855],[6.756000703465829]
30,260429_035136/30/forecast_Wh_metrics_30d.json,[0.5362024803291331],[9.318968166353788],[0.7500340493618475],[0.7211710843327808],[-0.8155525168762883],[0.6243961732434357],[9.978263769367267],"[""2026-01-29T00:00:00""]",[4.72749],[0.09819321540805935],[0.12239967792836512]
60,260429_035136/60/forecast_Wh_metrics_60d.json,[0.6272977428904801],[11.271930011659226],[0.8534852555490837],[0.8401290303688789],[-1.301821571614564],[0.6938564731675172],[12.092995904052536],"[""2025-12-30T00:00:00""]",[4.57906],[0.11786659066521557],[0.14466846564319408]
90,260429_035136/90/forecast_Wh_metrics_90d.json,[0.6320121677100914],[12.854260972996142],[0.8242987507954883],[0.9466169429505892],[-0.8432855832119963],[0.6591176686882014],[11.76608753874813],"[""2025-11-30T00:00:00""]",[5.85374],[0.11967548012320325],[0.1444117525255625]
120,260429_051228/120/forecast_Wh_metrics_120d.json,[0.5862885691248294],[10.632914633494613],[0.718479016105721],[0.544314230811029],[-0.11149001928749258],[0.5670701368036173],[10.900897216345133],"[""2025-10-31T00:00:00""]",[6.54126],[0.1072478435912227],[0.12634528043161675]
30,260429_051228/30/forecast_Wh_metrics_30d.json,[0.8506305545558907],[14.914910427839251],[1.1898525328582006],[1.1440643822071035],[-2.9704722491592905],[0.9233724384822475],[16.519487189769706],"[""2026-01-29T00:00:00""]",[4.72749],[0.15577352276496992],[0.18100765815246678]
60,260429_051228/60/forecast_Wh_metrics_60d.json,[1.34152519975],[24.346853394132324],[1.8252448552713267],[1.796681524929632],[-7.968688031304165],[1.3696142794308102],[28.70444138319423],"[""2025-12-30T00:00:00""]",[4.57906],[0.25206690662939485],[0.2855633751224331]
90,260429_051228/90/forecast_Wh_metrics_90d.json,[0.5676311355915261],[11.413237992233324],[0.7403301073712041],[0.8501881415417601],[-0.4635565542392224],[0.5873154086554747],[10.651755978773782],"[""2025-11-30T00:00:00""]",[5.85374],[0.10748452665227114],[0.12867997852038504]
120,260429_061457/120/forecast_Wh_metrics_120d.json,[0.7145600804521118],[12.799015299481528],[0.8756718970626025],[0.6634023602748191],[-0.7550859832829173],[0.7125792836305263],[13.743791416851186],"[""2025-10-31T00:00:00""]",[6.54126],[0.13071213013628258],[0.15876524538487233]
30,260429_061457/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260429_061457/60/forecast_Wh_metrics_60d.json,[1.096932924160971],[19.7642374560735],[1.4924588645637515],[1.4691033156099713],[-5.302176567002149],[1.148098368241807],[22.68642369737045],"[""2025-12-30T00:00:00""]",[4.57906],[0.20610905335562826],[0.2393775020686406]
90,260429_061457/90/forecast_Wh_metrics_90d.json,[0.49220510007327356],[9.542506153860273],[0.6419560727692767],[0.7372163242113028],[-0.06372063286561569],[0.5007032751792826],[9.308387651100345],"[""2025-11-30T00:00:00""]",[5.85374],[0.09320213230036802],[0.10970338211056899]
120,260429_072441/120/forecast_Wh_metrics_120d.json,[0.751868751549749],[13.746069219340166],[0.9213925518972271],[0.6980399801782838],[-1.082641807767248],[0.7762315389049675],[14.755219573381565],"[""2025-10-31T00:00:00""]",[6.54126],[0.13753688288295232],[0.17294719841115067]
30,260429_072441/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260429_072441/60/forecast_Wh_metrics_60d.json,[1.062374591453375],[19.154061399647855],[1.4454396814779256],[1.4228199376162667],[-4.675747395359469],[1.0895454356324907],[21.742457009964525],"[""2025-12-30T00:00:00""]",[4.57906],[0.19961568891827253],[0.22716926701272286]
