date,E_day_kWh,Hpoa_day_kWhm2,G(i)_Whm2,G(i)_kWhm2,G(i)_mean,G(i)_min,G(i)_max,G(i)_std,G(i)_p10,G(i)_p90,P_Wh,P_kWh,P_mean,P_min,P_max,P_std,P_p10,P_p90,T2m_mean,T2m_min,T2m_max,T2m_std,T2m_p10,T2m_p90,WS10m_mean,WS10m_max,WS10m_std,WS10m_p10,WS10m_p90,H_sun_max,H_sun_mean,n_obs_P,valid_frac_P,n_obs_G(i),valid_frac_G(i),n_obs_T2m,valid_frac_T2m,n_obs_WS10m,valid_frac_WS10m,n_obs_H_sun,valid_frac_H_sun
2005-01-27,0.43426000000000003,6.4361999999999995,6436.2,6.4361999999999995,268.175,0.0,953.28,367.2819092598562,0.0,884.579,434.26,0.43426,18.094166666666666,0.0,63.1,24.71752360549911,0.0,59.238,16.34541666666667,11.7,20.64,2.979362317483488,12.121,20.428,1.0229166666666667,1.72,0.30627465887119465,0.711,1.4289999999999998,47.1,13.044583333333334,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-28,0.35161,5.13293,5132.93,5.13293,213.87208333333334,0.0,765.32,290.02437429770515,0.0,664.197,351.61,0.35161000000000003,14.650416666666667,0.0,52.27,19.96657674152889,0.0,45.591,16.898333333333333,14.77,20.2,1.944583707918343,15.113,19.72,0.8675,1.52,0.3774427684805484,0.431,1.4289999999999998,47.36,13.132916666666667,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-29,0.41237,6.04053,6040.53,6.0405299999999995,251.68875,0.0,907.76,338.86821817584774,0.0,801.0740000000001,412.37,0.41237,17.182083333333335,0.0,61.02,23.164003742532465,0.0,54.671,16.559583333333332,13.1,20.29,2.2760806877396607,14.201,19.899,1.1570833333333332,1.93,0.44755839227161587,0.62,1.769,47.63,13.225000000000001,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-30,0.38958,5.70551,5705.51,5.70551,237.72958333333335,0.0,917.99,335.9200091698743,0.0,832.0559999999999,389.58,0.38958,16.232499999999998,0.0,61.53,22.9138978617212,0.0,56.477000000000004,15.96125,12.34,20.59,2.741992789290617,12.676,20.066,1.55,2.28,0.4439349736949828,1.072,2.21,47.91,13.317083333333334,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-31,0.2496,3.56437,3564.37,3.56437,148.51541666666665,0.0,639.39,230.22685339878532,0.0,597.2779999999999,249.6,0.2496,10.4,0.0,45.46,16.43353702434247,0.0,42.641999999999996,13.304583333333333,11.6,15.62,1.2291848807297028,11.89,15.262,1.4675,2.21,0.39372524076745613,1.0510000000000002,2.077,48.19,13.412083333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-01,0.32416,4.56935,4569.35,4.56935,190.38958333333335,0.0,764.59,267.4414071299449,0.0,604.4069999999999,324.15999999999997,0.32415999999999995,13.506666666666666,0.0,53.98,19.11292794138966,0.0,43.25299999999999,11.754166666666668,9.62,15.23,1.7900204435720273,9.812999999999999,14.565,1.4633333333333332,2.48,0.5247166246955436,1.03,2.3219999999999996,48.47,13.5075,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-02,0.15474,2.22666,2226.66,2.22666,92.77749999999999,0.0,483.88,146.9555736549685,0.0,324.373,154.74,0.15474000000000002,6.447500000000001,0.0,34.95,10.587234006719767,0.0,23.269,11.737916666666665,9.63,14.5,1.5641138042845932,9.684000000000001,13.737,1.2666666666666668,1.79,0.32006339951663465,0.97,1.72,48.76,13.606666666666667,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-03,0.14932,2.18475,2184.75,2.18475,91.03125,0.0,332.4,126.94137429169898,0.0,315.411,149.32,0.14931999999999998,6.221666666666667,0.0,23.47,8.925891341030544,0.0,22.242,14.327916666666667,12.28,16.34,1.3663120121307406,12.441,15.976,0.7045833333333333,1.1,0.3328791289533689,0.09100000000000003,1.03,49.06,13.706249999999999,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-04,0.30226000000000003,4.39438,4394.38,4.39438,183.09916666666666,0.0,684.56,250.1277933884244,0.0,569.2810000000001,302.26,0.30226,12.594166666666666,0.0,47.38,17.411393300556583,0.0,39.551,16.64125,13.83,19.78,1.9649279497798602,14.165000000000001,19.284,0.8295833333333333,1.24,0.26458300524914036,0.55,1.17,49.36,13.8075,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-05,0.39299,5.84711,5847.11,5.84711,243.62958333333333,0.0,845.53,323.9519800227935,0.0,764.919,392.99,0.39299,16.374583333333334,0.0,56.61,21.92641170491932,0.0,51.309999999999995,18.0725,13.36,22.36,2.915899816374088,13.711,21.669,0.8883333333333333,1.72,0.46865827604998606,0.28,1.38,49.66,13.910833333333334,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-06,0.3906,5.89426,5894.26,5.89426,245.59416666666667,0.0,968.5,345.3765650507166,0.0,813.958,390.6,0.3906,16.275000000000002,0.0,62.62,22.888203150930412,0.0,53.922,18.889166666666664,16.0,23.88,2.7584209671266744,16.379,23.08,0.9229166666666666,1.72,0.3806342437777136,0.501,1.548,49.97,14.015,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-07,0.42278,6.35706,6357.0599999999995,6.35706,264.8775,0.0,972.35,362.4990825445662,0.0,881.8919999999999,422.78,0.42278,17.61583333333333,0.0,63.51,24.090510835572594,0.0,58.40899999999999,18.562083333333334,12.96,23.43,3.503997691043843,13.247,23.009,1.2220833333333332,1.79,0.35201258829598775,0.76,1.66,50.28,14.119583333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-08,0.45076,6.7529,6752.9,6.7528999999999995,281.37083333333334,0.0,1002.23,378.16504482792976,0.0,886.4789999999999,450.76,0.45076,18.781666666666666,0.0,65.79,25.24824034620453,0.0,59.00299999999999,18.861666666666668,15.79,22.93,2.504751426817624,15.856,22.526999999999997,1.2733333333333332,2.21,0.5018458681331538,0.781,2.049,50.59,14.22625,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-09,0.41093,6.11262,6112.62,6.11262,254.6925,0.0,947.81,349.03443932792146,0.0,852.5609999999999,410.93,0.41093,17.122083333333332,0.0,62.9,23.494664700396516,0.0,57.217999999999996,17.886666666666667,13.4,22.08,2.753234724696637,14.303,21.594,1.16375,2.0,0.4892835267666564,0.5710000000000001,1.909,50.91,14.334583333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-10,0.36684,5.32852,5328.5199999999995,5.328519999999999,222.02166666666665,0.0,834.38,299.40198855990116,0.0,680.268,366.84,0.36684,15.284999999999998,0.0,57.0,20.761459905105525,0.0,47.283,17.198333333333334,14.21,20.87,2.0406897100621704,14.819,20.08,1.7750000000000001,2.83,0.6009846992192501,1.1,2.55,51.23,14.444166666666666,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-11,0.34587,4.98264,4982.64,4.98264,207.61,0.0,794.72,287.4959944824941,0.0,663.8199999999999,345.87,0.34587,14.41125,0.0,55.16,20.18205236094684,0.0,46.574,16.327916666666667,13.66,19.12,1.7179486735428204,14.318000000000001,18.807,1.555,2.69,0.655783633459271,0.683,2.578,51.56,14.555416666666666,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-12,0.42474,6.19913,6199.13,6.19913,258.2970833333333,0.0,937.45,352.5715793310527,0.0,851.031,424.74,0.42474,17.6975,0.0,63.59,24.266346933114196,0.0,58.285999999999994,16.169999999999998,13.67,19.79,2.0927140688381303,14.002,19.213,1.5929166666666665,2.69,0.7302678434577317,0.711,2.62,51.89,14.668333333333335,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-13,0.45643,6.78834,6788.34,6.78834,282.8475,0.0,977.35,377.1956786747027,0.0,900.365,456.43,0.45643,19.017916666666668,0.0,64.82,25.39714619010272,0.0,60.254,16.3875,10.65,22.33,4.1251089577177815,10.879999999999999,21.842,1.5975,2.21,0.35417080133988904,1.191,2.0,52.22,14.779583333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-14,0.44555,6.68466,6684.66,6.68466,278.5275,0.0,987.2,373.52245441204735,0.0,894.598,445.55,0.44555,18.564583333333335,0.0,64.57,24.88706281325731,0.0,59.385999999999996,17.068749999999998,12.1,22.84,4.006614436045779,12.464,22.516,1.1775,1.86,0.38115670633298415,0.781,1.751,52.56,14.894583333333335,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-15,0.45583999999999997,6.91268,6912.679999999999,6.912679999999999,288.0283333333333,0.0,1021.02,386.05062912690005,0.0,894.881,455.84,0.45583999999999997,18.993333333333332,0.0,66.16,25.419609627671083,0.0,58.964999999999996,18.672083333333333,11.74,25.0,4.641872728493988,12.468,24.526,1.3045833333333332,2.41,0.5293308258437306,0.781,1.9789999999999999,52.9,15.010416666666666,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-16,0.45822,6.9562,6956.2,6.9562,289.84166666666664,0.0,1027.11,392.5711884339015,0.0,945.48,458.22,0.45822,19.0925,0.0,66.48,25.81084542017847,0.0,61.995999999999995,19.118750000000002,13.05,24.99,4.002233411810049,14.795,24.606,1.4795833333333333,2.41,0.5062520352437171,0.9390000000000001,2.238,53.24,15.125833333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
