category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
90,260428_225342/90/forecast_Wh_metrics_90d.json,[0.5801837628242025],[10.325597420606341],[0.7567018094929944],[0.8689892504825061],[-0.6840194666650539],[0.6299994847996893],[11.090724292857066],"[""2025-11-30T00:00:00""]",[5.85374],[0.10986144559090656],[0.1380319994625463]
120,260429_013231/120/forecast_Wh_metrics_120d.json,[0.7645833333333336],[13.449204478384344],[0.9369738896396668],[0.7098442829876437],[-0.9957455436715252],[0.7598652386701545],[14.653967399055503],"[""2025-10-31T00:00:00""]",[6.54126],[0.13986271959590274],[0.16930072743940985]
30,260429_013231/30/forecast_Wh_metrics_30d.json,[0.8214919636591763],[14.436306476991273],[1.149093796886771],[1.1048741323223699],[-2.631632473258108],[0.8830936668002343],[15.887615807369313],"[""2026-01-29T00:00:00""]",[4.72749],[0.15043745656316476],[0.173111855947884]
60,260429_013231/60/forecast_Wh_metrics_60d.json,[1.8089184275430834],[33.11638522528677],[2.461168119759363],[2.422653200608593],[-14.655870800210348],[1.8095576794038186],[41.43855351225287],"[""2025-12-30T00:00:00""]",[4.57906],[0.33988811575113625],[0.3772911878693485]
90,260429_013231/90/forecast_Wh_metrics_90d.json,[2.038890287280985],[38.06172750270091],[2.6592125953905668],[3.0538147671278724],[-16.040239401630384],[2.004031236559075],[50.07012384383424],"[""2025-11-30T00:00:00""]",[5.85374],[0.38607670313210596],[0.43908042028891614]
120,260429_041034/120/forecast_Wh_metrics_120d.json,[0.7446260697982957],[13.601324384786878],[0.9125168631446411],[0.6913158259747725],[-1.0355775491705144],[0.7674106455824964],[14.58834984566297],"[""2025-10-31T00:00:00""]",[6.54126],[0.13621200288261331],[0.17098187142925927]
30,260429_041034/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260429_041034/60/forecast_Wh_metrics_60d.json,[1.200945666666666],[21.8621123830412],[1.6339759401852607],[1.6084057848085154],[-5.600213927721039],[1.1749322442544268],[24.933454257309023],"[""2025-12-30T00:00:00""]",[4.57906],[0.22565260740764023],[0.2449723416646217]
90,260429_041034/90/forecast_Wh_metrics_90d.json,[0.5854365054706093],[11.839460899857873],[0.7635526731676151],[0.8768567179777342],[-0.5700433204872386],[0.6083065017509143],[10.96409243155029],"[""2025-11-30T00:00:00""]",[5.85374],[0.1108560854574933],[0.13327909744155245]
120,260429_053015/120/forecast_Wh_metrics_120d.json,[2.4776139191055417],[45.76714306447825],[3.0362413743560075],[2.3002333418127674],[-20.080179053901258],[2.4695688643242653],[70.95684401982926],"[""2025-10-31T00:00:00""]",[6.54126],[0.45322178201821983],[0.5502288878532392]
